Name,Description,styleUrl,Power,Address,Latitude,Longitude,Provider,Coordinates
บางจาก ละแม,Power: 50 kW<br>Description: 139 ม.9 ต.ทุ่งหลวง อ.ละแม จ.ชุมพร 86170 PEA VOLTA บางจาก ละแม #2<br>Latitude: 9.77398396<br>Longitude: 99.07875824<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,139 ม.9 ต.ทุ่งหลวง อ.ละแม จ.ชุมพร 86170 PEA VOLTA บางจาก ละแม #2,9.77398396,99.07875824,PEA,"
            99.07875824,9.77398396,0
          "
บางจาก คลองขลุง,Power: 50 kW<br>Description: 39/8 ม.10 ต.คลองขลุง อ.คลองขลุง จ.กำแพงเพชร 62120 PEA VOLTA บางจาก คลองขลุง #1<br>Latitude: 16.21014404<br>Longitude: 99.70331573<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,39/8 ม.10 ต.คลองขลุง อ.คลองขลุง จ.กำแพงเพชร 62120 PEA VOLTA บางจาก คลองขลุง #1,16.21014404,99.70331573,PEA,"
            99.70331573,16.21014404,0
          "
บางจาก เมืองตาก,Power: 50 kW<br>Description: 9 ม.5 ต.เชียงเงิน อ.เมืองตาก จ.ตาก 63000 PEA VOLTA บางจาก เมืองตาก #2<br>Latitude: 16.87879181<br>Longitude: 99.12906647<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,9 ม.5 ต.เชียงเงิน อ.เมืองตาก จ.ตาก 63000 PEA VOLTA บางจาก เมืองตาก #2,16.87879181,99.12906647,PEA,"
            99.12906647,16.87879181,0
          "
บางจาก สีคิ้ว (มิตรภาพ กม.92),Power: 50 kW<br>Description: 25 ม.12 ต.ลาดบัวขาว อ.สีคิ้ว จ.นครราชสีมา 30340 PEA VOLTA บางจาก สีคิ้ว (มิตรภาพ กม.92) #1<br>Latitude: 14.84046268<br>Longitude: 101.60757446<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,25 ม.12 ต.ลาดบัวขาว อ.สีคิ้ว จ.นครราชสีมา 30340 PEA VOLTA บางจาก สีคิ้ว (มิตรภาพ กม.92) #1,14.84046268,101.60757446,PEA,"
            101.60757446,14.84046268,0
          "
บางจาก ท่าแซะ,Power: 50 kW<br>Description: ท่าแซะ ต.ท่าข้าม อ.ท่าแซะ จ.ชุมพร 86140 PEA VOLTA บางจาก ท่าแซะ #2<br>Latitude: 10.59331322<br>Longitude: 99.12245941<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,ท่าแซะ ต.ท่าข้าม อ.ท่าแซะ จ.ชุมพร 86140 PEA VOLTA บางจาก ท่าแซะ #2,10.59331322,99.12245941,PEA,"
            99.12245941,10.59331322,0
          "
บางจาก กะทู้,Power: 50 kW<br>Description: 2/75-76 ม.2 ถ.ทางหลวงชนบท ป่าตอง-กะทู้ (2010) ต.กะทู้ อ.กะทู้ จ.ภูเก็ต 83120 PEA VOLTA บางจาก กะทู้ #1<br>Latitude: 7.90890980<br>Longitude: 98.34481049<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,2/75-76 ม.2 ถ.ทางหลวงชนบท ป่าตอง-กะทู้ (2010) ต.กะทู้ อ.กะทู้ จ.ภูเก็ต 83120 PEA VOLTA บางจาก กะทู้ #1,7.90890980,98.34481049,PEA,"
            98.34481049,7.9089098,0
          "
บางจาก ซุปเปอร์ไฮเวย์เชียงใหม่,Power: 50 kW<br>Description: 99 ม.1 ถ.ซุปเปอร์ไฮเวย์ ต.หนองป่าครั่ง อ.เมือง จ.เชียงใหม่ 50000 PEA VOLTA บางจาก ซุปเปอร์ไฮเวย์เชียงใหม่ #1<br>Latitude: 18.79173660<br>Longitude: 99.02420044<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,99 ม.1 ถ.ซุปเปอร์ไฮเวย์ ต.หนองป่าครั่ง อ.เมือง จ.เชียงใหม่ 50000 PEA VOLTA บางจาก ซุปเปอร์ไฮเวย์เชียงใหม่ #1,18.79173660,99.02420044,PEA,"
            99.02420044,18.7917366,0
          "
บางจาก เมืองภูเก็ต,Power: 50 kW<br>Description: 24/11 ม.4 ถ.วิเศษ ต.ราไวย์ อ.เมือง จ.ภูเก็ต 83130 PEA VOLTA บางจาก เมืองภูเก็ต #1<br>Latitude: 7.80754280<br>Longitude: 98.33696747<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,24/11 ม.4 ถ.วิเศษ ต.ราไวย์ อ.เมือง จ.ภูเก็ต 83130 PEA VOLTA บางจาก เมืองภูเก็ต #1,7.80754280,98.33696747,PEA,"
            98.33696747,7.8075428,0
          "
บางจาก เมืองพังงา,Power: 50 kW<br>Description: 29/38 ม.3 ต.ตากแดด อ.เมือง จ.พังงา 80180 PEA VOLTA บางจาก เมืองพังงา #1<br>Latitude: 8.42503834<br>Longitude: 98.47972107<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,29/38 ม.3 ต.ตากแดด อ.เมือง จ.พังงา 80180 PEA VOLTA บางจาก เมืองพังงา #1,8.42503834,98.47972107,PEA,"
            98.47972107,8.42503834,0
          "
บางจาก เมืองหนองคาย,Power: 50 kW<br>Description: 57/1 ม.5 ถ.สายหนองคาย-โพนพิสัย ต.หาดคำ อ.เมือง จ.หนองคาย 43000 (สถานีให้บริการน้ำมันให้บริการในเวลา 5:30-21:30 น.) PEA VOLTA บางจาก เมืองหนองคาย #1<br>Latitude: 17.89057541<br>Longitude: 102.77641296<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,57/1 ม.5 ถ.สายหนองคาย-โพนพิสัย ต.หาดคำ อ.เมือง จ.หนองคาย 43000 (สถานีให้บริการน้ำมันให้บริการในเวลา 5:30-21:30 น.) PEA VOLTA บางจาก เมืองหนองคาย #1,17.89057541,102.77641296,PEA,"
            102.77641296,17.89057541,0
          "
บางจาก เมืองขอนแก่น (แยกเมืองเก่า),Power: 50 kW<br>Description: 485 ม.12 ถ.สายขอนแก่น-บ้านไผ่ (มิตรภาพ) ต.ศิลา อ.เมือง จ.ขอนแก่น 40000 PEA VOLTA บางจาก เมืองขอนแก่น (แยกเมืองเก่า) #2<br>Latitude: 16.38029480<br>Longitude: 102.81069183<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,485 ม.12 ถ.สายขอนแก่น-บ้านไผ่ (มิตรภาพ) ต.ศิลา อ.เมือง จ.ขอนแก่น 40000 PEA VOLTA บางจาก เมืองขอนแก่น (แยกเมืองเก่า) #2,16.38029480,102.81069183,PEA,"
            102.81069183,16.3802948,0
          "
บางจาก อินทร์บุรี (ขาออก),Power: 50 kW<br>Description: 116 ม.1 ถ.สายเอเชีย ต.น้ำตาล อ.อินทร์บุรี จ.สิงห์บุรี 16110 PEA VOLTA บางจาก อินทร์บุรี (ขาออก) #1<br>Latitude: 14.98171806<br>Longitude: 100.35731506<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,116 ม.1 ถ.สายเอเชีย ต.น้ำตาล อ.อินทร์บุรี จ.สิงห์บุรี 16110 PEA VOLTA บางจาก อินทร์บุรี (ขาออก) #1,14.98171806,100.35731506,PEA,"
            100.35731506,14.98171806,0
          "
หล่มสัก,Power: 50 kW<br>Description: 145 หมู่ 3 ถนนสระบุรี-หล่มสัก ต.หนองไขว่ อ.หล่มสัก จ.เพชรบูรณ์ 67110 PEA VOLTA หล่มสัก #1<br>Latitude: 16.76070213<br>Longitude: 101.21662903<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,145 หมู่ 3 ถนนสระบุรี-หล่มสัก ต.หนองไขว่ อ.หล่มสัก จ.เพชรบูรณ์ 67110 PEA VOLTA หล่มสัก #1,16.76070213,101.21662903,PEA,"
            101.21662903,16.76070213,0
          "
บางจาก แม่ลาว,Power: 50 kW<br>Description: 59 ม.2 ถ.พหลโยธิน (พาน-เชียงราย) ต.จอมหมอกแก้ว อ.แม่ลาว จ.เชียงราย 57250 (สถานีให้บริการน้ำมันให้บริการในเวลา 05:30-22:00 น.) PEA VOLTA บางจาก แม่ลาว #1<br>Latitude: 19.75447845<br>Longitude: 99.73159027<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,59 ม.2 ถ.พหลโยธิน (พาน-เชียงราย) ต.จอมหมอกแก้ว อ.แม่ลาว จ.เชียงราย 57250 (สถานีให้บริการน้ำมันให้บริการในเวลา 05:30-22:00 น.) PEA VOLTA บางจาก แม่ลาว #1,19.75447845,99.73159027,PEA,"
            99.73159027,19.75447845,0
          "
บางจาก พล,Power: 50 kW<br>Description: 10 ม.8 ถ.ทางหลวงแผ่นดินหมายเลข 2 ต.หนองแวงโสกพระ อ.พล จ.ขอนแก่น 40120 PEA VOLTA บางจาก พล #1<br>Latitude: 15.72360611<br>Longitude: 102.59219360<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,10 ม.8 ถ.ทางหลวงแผ่นดินหมายเลข 2 ต.หนองแวงโสกพระ อ.พล จ.ขอนแก่น 40120 PEA VOLTA บางจาก พล #1,15.72360611,102.59219360,PEA,"
            102.5921936,15.72360611,0
          "
บางจาก เมืองอุดรธานี,Power: 50 kW<br>Description: 558 ถ.โพศรี ต.หมากแข้ง อ.เมือง จ.อุดรธานี 41000 PEA VOLTA บางจาก เมืองอุดรธานี #1<br>Latitude: 17.40020943<br>Longitude: 102.80043793<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,558 ถ.โพศรี ต.หมากแข้ง อ.เมือง จ.อุดรธานี 41000 PEA VOLTA บางจาก เมืองอุดรธานี #1,17.40020943,102.80043793,PEA,"
            102.80043793,17.40020943,0
          "
บางจาก นาเกลือ,Power: 50 kW<br>Description: 472/59 ม.4 ต.นาเกลือ อ.บางละมุง จ.ชลบุรี 20150 PEA VOLTA บางจาก นาเกลือ #2<br>Latitude: 12.96428871<br>Longitude: 100.90988159<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,472/59 ม.4 ต.นาเกลือ อ.บางละมุง จ.ชลบุรี 20150 PEA VOLTA บางจาก นาเกลือ #2,12.96428871,100.90988159,PEA,"
            100.90988159,12.96428871,0
          "
บางจาก หาดใหญ่,Power: 50 kW<br>Description: 46/1 ถ.เพชรเกษม ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110 PEA VOLTA บางจาก หาดใหญ่ #2<br>Latitude: 7.00386286<br>Longitude: 100.46021271<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,46/1 ถ.เพชรเกษม ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110 PEA VOLTA บางจาก หาดใหญ่ #2,7.00386286,100.46021271,PEA,"
            100.46021271,7.00386286,0
          "
บางจาก ทุ่งสง,Power: 50 kW<br>Description: 83/1 ม.7 ต.หนองหงส์ ต.ทุ่งสง จ.นครศรีธรรมราช 80110 PEA VOLTA บางจาก ทุ่งสง #2<br>Latitude: 8.17509270<br>Longitude: 99.63127899<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,83/1 ม.7 ต.หนองหงส์ ต.ทุ่งสง จ.นครศรีธรรมราช 80110 PEA VOLTA บางจาก ทุ่งสง #2,8.17509270,99.63127899,PEA,"
            99.63127899,8.1750927,0
          "
บางจาก ทับสะแก,Power: 50 kW<br>Description: 55 ม.1 ถ.เพชรเกษม ต.แสงอรุณ ต.ทับสะแก จ.ประจวบคีรีขันธ์ 77130 PEA VOLTA บางจาก ทับสะแก #2<br>Latitude: 11.54640007<br>Longitude: 99.63079834<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,55 ม.1 ถ.เพชรเกษม ต.แสงอรุณ ต.ทับสะแก จ.ประจวบคีรีขันธ์ 77130 PEA VOLTA บางจาก ทับสะแก #2,11.54640007,99.63079834,PEA,"
            99.63079834,11.54640007,0
          "
บางจาก ท่าใหม่,Power: 50 kW<br>Description: 67/20 ม.3 ถ.สุขุมวิท ต.ทุ่งเบญจา อ.ท่าใหม่ จ.จันทบุรี 22170 PEA VOLTA บางจาก ท่าใหม่ #2<br>Latitude: 12.71175194<br>Longitude: 101.98202515<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,67/20 ม.3 ถ.สุขุมวิท ต.ทุ่งเบญจา อ.ท่าใหม่ จ.จันทบุรี 22170 PEA VOLTA บางจาก ท่าใหม่ #2,12.71175194,101.98202515,PEA,"
            101.98202515,12.71175194,0
          "
บางจาก พยุหะคีรี,Power: 50 kW<br>Description: 41/1 ม.2 ถ.พหลโยธิน ต.ย่านมัทรี อ.พยุหะคีรี จ.นครสวรรค์ 60130 PEA VOLTA บางจาก พยุหะคีรี #2<br>Latitude: 15.49873257<br>Longitude: 100.12822723<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,41/1 ม.2 ถ.พหลโยธิน ต.ย่านมัทรี อ.พยุหะคีรี จ.นครสวรรค์ 60130 PEA VOLTA บางจาก พยุหะคีรี #2,15.49873257,100.12822723,PEA,"
            100.12822723,15.49873257,0
          "
บางจาก บึงนาราง,Power: 50 kW<br>Description: 456 ม.2 ต.บึงนาราง อ.บึงนาราง จ.พิจิตร 66130 PEA VOLTA บางจาก บึงนาราง #2<br>Latitude: 16.18552208<br>Longitude: 100.12808990<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,456 ม.2 ต.บึงนาราง อ.บึงนาราง จ.พิจิตร 66130 PEA VOLTA บางจาก บึงนาราง #2,16.18552208,100.12808990,PEA,"
            100.1280899,16.18552208,0
          "
บางจาก นครราชสีมา (กม. 134),Power: 50 kW<br>Description: 444/1 ม.8 ต.โคกกรวด อ.เมือง จ.นครราชสีมา 30000 PEA VOLTA บางจาก นครราชสีมา (กม. 134) #1<br>Latitude: 14.93463707<br>Longitude: 101.98297882<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,444/1 ม.8 ต.โคกกรวด อ.เมือง จ.นครราชสีมา 30000 PEA VOLTA บางจาก นครราชสีมา (กม. 134) #1,14.93463707,101.98297882,PEA,"
            101.98297882,14.93463707,0
          "
บางจาก ขุขันธ์,Power: 50 kW<br>Description: 58 ม.8 ถ.ทางหลวงแผ่นดินสายโชคชัย-เดชอุดม (24) ต.นิคมพัฒนา อ.ขุขันธ์ จ.ศรีสะเกษ 33140 (สถานีให้บริการน้ำมันให้บริการในเวลา 06:00-20:00 น. ผู้ใช้บริการ PEA VOLTA ต้องทำการเลื่อนรั้วกั้นเพื่อเข้าใช้บริการ) PEA VOLTA บางจาก ขุขันธ์ #1<br>Latitude: 14.65510368<br>Longitude: 104.22760773<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,58 ม.8 ถ.ทางหลวงแผ่นดินสายโชคชัย-เดชอุดม (24) ต.นิคมพัฒนา อ.ขุขันธ์ จ.ศรีสะเกษ 33140 (สถานีให้บริการน้ำมันให้บริการในเวลา 06:00-20:00 น. ผู้ใช้บริการ PEA VOLTA ต้องทำการเลื่อนรั้วกั้นเพื่อเข้าใช้บริการ) PEA VOLTA บางจาก ขุขันธ์ #1,14.65510368,104.22760773,PEA,"
            104.22760773,14.65510368,0
          "
สระแก้ว,Power: 50 kW<br>Description: เลขที่ 6 ถ.สุวรรณศร ต.สระแก้ว อ.เมือง จ.สระแก้ว 27000 PEA VOLTA สระแก้ว #2<br>Latitude: 13.83916283<br>Longitude: 102.04624939<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,เลขที่ 6 ถ.สุวรรณศร ต.สระแก้ว อ.เมือง จ.สระแก้ว 27000 PEA VOLTA สระแก้ว #2,13.83916283,102.04624939,PEA,"
            102.04624939,13.83916283,0
          "
บางจาก เมืองบุรีรัมย์ (คูเมือง),Power: 50 kW<br>Description: 188 ม.3 ถ.บุรีรัมย์-คูเมือง ต.ชุมเห็ด อ.เมือง จ.บุรีรัมย์ 31000 PEA VOLTA บางจาก เมืองบุรีรัมย์ (คูเมือง) #2<br>Latitude: 15.05379486<br>Longitude: 103.08460236<br>Provider: PEA,#icon-1899-DB4436-labelson,50 kW,188 ม.3 ถ.บุรีรัมย์-คูเมือง ต.ชุมเห็ด อ.เมือง จ.บุรีรัมย์ 31000 PEA VOLTA บางจาก เมืองบุรีรัมย์ (คูเมือง) #2,15.05379486,103.08460236,PEA,"
            103.08460236,15.05379486,0
          "
