Name,Description,styleUrl,Hours,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
7-11 สีตบุตร,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: รองเมือง, ปทุมวัน, กรุงเทพมหานคร<br>Latitude: 13.742579<br>Longitude: 100.521029<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 118 kW, 200A
Type2: CLOSED
Parking","รองเมือง, ปทุมวัน, กรุงเทพมหานคร",13.742579,100.521029,EA,"
            100.521029,13.742579,0
          "
ZY Walk,"Hours: 24 Hr<br>Power: 0 kW<br>Description: Type2: CLOSED<br>CCS2: CLOSED<br>parking<br>Address: วังใหม่, ปทุมวัน, กรุงเทพมหานคร<br>Latitude: 13.741238<br>Longitude: 100.524702<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,0 kW,"Type2: CLOSED
CCS2: CLOSED
parking","วังใหม่, ปทุมวัน, กรุงเทพมหานคร",13.741238,100.524702,EA,"
            100.524702,13.741238,0
          "
แมกโนเลียส์ วอเตอร์ฟรอนซ์ เรสซิเดนซ์,"Hours: 24 Hr<br>Power: 35 kW<br>Description: CCS2: 35 kW<br>Type2: 22 kW<br>Parking<br>Address: คลองต้นไทร, คลองสาน, กรุงเทพมหานคร<br>Latitude: 13.727306<br>Longitude: 100.510499<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,35 kW,"CCS2: 35 kW
Type2: 22 kW
Parking","คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",13.727306,100.510499,EA,"
            100.510499,13.727306,0
          "
ICONSIAM (B1 Zone Gold),"Hours: Peak<br>Power: 38 kW<br>Description: Type1: 11 kW<br>Type2: 7x 11 kW<br>CCS2: 38 kW, CLOSED<br>Parking  B1<br>Address: คลองต้นไทร, คลองสาน, กรุงเทพมหานคร<br>Latitude: 13.726441<br>Longitude: 100.510086<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,38 kW,"Type1: 11 kW
Type2: 7x 11 kW
CCS2: 38 kW, CLOSED
Parking  B1","คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",13.726441,100.510086,EA,"
            100.510086,13.726441,0
          "
THE RIVER เจริญนคร,"Hours: 24 Hr<br>Power: 22 kW<br>Description: Type2: 22 kW<br>CCS2: CLOSED<br>parking<br>Address: คลองต้นไทร, คลองสาน, กรุงเทพมหานคร<br>Latitude: 13.721553<br>Longitude: 100.510305<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,22 kW,"Type2: 22 kW
CCS2: CLOSED
parking","คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",13.721553,100.510305,EA,"
            100.510305,13.721553,0
          "
ร้านอาหารครัวในซอย ซ.จรํญสนิทวงค์ 75,"Hours: Peak<br>Power: 150 kW<br>Description: Type2: 22 kW<br>CCS2: 2x 150 kW, 200A<br>parking  ครัวในซอย<br>Address: บางพลัด, บางพลัด, กรุงเทพมหานคร<br>Latitude: 13.790473<br>Longitude: 100.490014<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,150 kW,"Type2: 22 kW
CCS2: 2x 150 kW, 200A
parking  ครัวในซอย","บางพลัด, บางพลัด, กรุงเทพมหานคร",13.790473,100.490014,EA,"
            100.490014,13.790473,0
          "
อาคารจอดรถ จามจุรีสแควร์ ชั้น 7,"Hours: 24 Hr<br>Power: 40 kW<br>Description: Type1: 22 kW, CLOSED<br>Type2: 2x 22 kW<br>CCS2: 40 kW<br>Parking<br>Address: ปทุมวัน, ปทุมวัน, กรุงเทพมหานคร<br>Latitude: 13.73299<br>Longitude: 100.530401<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,40 kW,"Type1: 22 kW, CLOSED
Type2: 2x 22 kW
CCS2: 40 kW
Parking","ปทุมวัน, ปทุมวัน, กรุงเทพมหานคร",13.73299,100.530401,EA,"
            100.530401,13.73299,0
          "
ศูนย์การค้า SENA Fest ถ.เจริญนคร,"Hours: 24 Hr<br>Power: 22 kW<br>Description: Type1: 22 kW<br>Type2: 22 kW<br>CCS2: CLOSED<br>Parking<br>Address: คลองต้นไทร, คลองสาน, กรุงเทพมหานคร<br>Latitude: 13.719416<br>Longitude: 100.507575<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,22 kW,"Type1: 22 kW
Type2: 22 kW
CCS2: CLOSED
Parking","คลองต้นไทร, คลองสาน, กรุงเทพมหานคร",13.719416,100.507575,EA,"
            100.507575,13.719416,0
          "
ศูนย์การแพทย์วิชัยยุทธ,"Hours: 24 Hr<br>Power: 40 kW<br>Description: CCS2: 40 kW<br>Parking<br>Address: สามเสนใน, พญาไท, กรุงเทพมหานคร<br>Latitude: 13.780432<br>Longitude: 100.5331<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,40 kW,"CCS2: 40 kW
Parking","สามเสนใน, พญาไท, กรุงเทพมหานคร",13.780432,100.5331,EA,"
            100.5331,13.780432,0
          "
ริทึ่ม สาทร,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: ยานนาวา, สาทร, กรุงเทพมหานคร<br>Latitude: 13.717813<br>Longitude: 100.516818<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 118 kW, 200A
Type2: CLOSED
Parking","ยานนาวา, สาทร, กรุงเทพมหานคร",13.717813,100.516818,EA,"
            100.516818,13.717813,0
          "
อาคาร อาคเนย์ประกันภัย จำกัด,"Hours: 24 Hr<br>Power: 75 kW<br>Description: CCS2: 75 kW<br>Type2: 22 kW<br>Parking<br>Address: บางรัก, บางรัก, กรุงเทพมหานคร<br>Latitude: 13.727318<br>Longitude: 100.532229<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,75 kW,"CCS2: 75 kW
Type2: 22 kW
Parking","บางรัก, บางรัก, กรุงเทพมหานคร",13.727318,100.532229,EA,"
            100.532229,13.727318,0
          "
ซัสโก้ สาขาบางบำหรุ,"Hours: Closed<br>Power: 0 kW<br>Description: CCS2: CLOSED<br>Type2: CLOSED<br>Parking<br>Address: บางบำหรุ, บางพลัด, กรุงเทพมหานคร<br>Latitude: 13.785289<br>Longitude: 100.47129<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,0 kW,"CCS2: CLOSED
Type2: CLOSED
Parking","บางบำหรุ, บางพลัด, กรุงเทพมหานคร",13.785289,100.47129,EA,"
            100.47129,13.785289,0
          "
SCB สาขาตลาดพลู,"Hours: Peak<br>Power: 110 kW<br>Description: Type2: 22 kW<br>CCS2: 2x 110 kW, 200A<br>PARKING  SCB<br>Address: ตลาดพลู, ธนบุรี, กรุงเทพมหานคร<br>Latitude: 13.720621<br>Longitude: 100.475762<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,110 kW,"Type2: 22 kW
CCS2: 2x 110 kW, 200A
PARKING  SCB","ตลาดพลู, ธนบุรี, กรุงเทพมหานคร",13.720621,100.475762,EA,"
            100.475762,13.720621,0
          "
เอ็มไพร์ทาวเวอร์ (อาคารจอดรถชั้น B1),"Hours: Peak<br>Power: 40 kW<br>Description: CCS2: 2x 40 kW<br>Type2: 22 kW<br>Parking<br>Address: ยานนาวา, สาทร, กรุงเทพมหานคร<br>Latitude: 13.720536<br>Longitude: 100.530224<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,40 kW,"CCS2: 2x 40 kW
Type2: 22 kW
Parking","ยานนาวา, สาทร, กรุงเทพมหานคร",13.720536,100.530224,EA,"
            100.530224,13.720536,0
          "
Condo ศุภาลัยริเวอร์ เพลส (ถ.เจริญนคร),"Hours: 24 Hr<br>Power: 90 kW<br>Description: Type2: 22 kW<br>CCS2: 90 kW, 200A<br>Parking<br>Address: บางลำภูล่าง, คลองสาน, กรุงเทพมหานคร<br>Latitude: 13.710567<br>Longitude: 100.502822<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,90 kW,"Type2: 22 kW
CCS2: 90 kW, 200A
Parking","บางลำภูล่าง, คลองสาน, กรุงเทพมหานคร",13.710567,100.502822,EA,"
            100.502822,13.710567,0
          "
กรมขนส่งทหารบก ขส.ทบ. (ลานเอนกประสงค์),"Hours: 24 Hr<br>Power: 75 kW<br>Description: CCS2: 75 kW, CLOSED<br>Parking<br>Address: ถนนนครไชยศรี, ดุสิต, กรุงเทพมหานคร<br>Latitude: 13.792595<br>Longitude: 100.531156<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,75 kW,"CCS2: 75 kW, CLOSED
Parking","ถนนนครไชยศรี, ดุสิต, กรุงเทพมหานคร",13.792595,100.531156,EA,"
            100.531156,13.792595,0
          "
โครนอส ทาวเวอร์ ชั้น จี สเตชั่น1,"Hours: 24 Hr<br>Power: 75 kW<br>Description: CCS2: 75 kW<br>Type2: CLOSED<br>Parking<br>Address: สีลม, บางรัก, กรุงเทพมหานคร<br>Latitude: 13.725044<br>Longitude: 100.538724<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,75 kW,"CCS2: 75 kW
Type2: CLOSED
Parking","สีลม, บางรัก, กรุงเทพมหานคร",13.725044,100.538724,EA,"
            100.538724,13.725044,0
          "
โครนอส ทาวเวอร์ ชั้น 2 สเตชั่น 2-1,"Hours: 24 Hr<br>Power: 11 kW<br>Description: Type2: 5x 11 kW<br>CCS2: CLOSED<br>Parking<br>Address: สีลม, บางรัก, กรุงเทพมหานคร<br>Latitude: 13.72482<br>Longitude: 100.538481<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,11 kW,"Type2: 5x 11 kW
CCS2: CLOSED
Parking","สีลม, บางรัก, กรุงเทพมหานคร",13.72482,100.538481,EA,"
            100.538481,13.72482,0
          "
เอสโซ่ ปิ่นเกล้า,"Hours: Closed<br>Power: 0 kW<br>Description: CCS2: CLOSED<br>Type2: CLOSED<br>Parking<br>Address: ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.784968<br>Longitude: 100.461259<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,0 kW,"CCS2: CLOSED
Type2: CLOSED
Parking","ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร",13.784968,100.461259,EA,"
            100.461259,13.784968,0
          "
คาลเท็กซ์ เพชรพระเทพ,"Hours: 24 Hr<br>Power: 102 kW<br>Description: CCS2: 103 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: บางพรม, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.752084<br>Longitude: 100.448974<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,102 kW,"CCS2: 103 kW, 200A
Type2: CLOSED
Parking","บางพรม, ตลิ่งชัน, กรุงเทพมหานคร",13.752084,100.448974,EA,"
            100.448974,13.752084,0
          "
E-Bus พระราม 3-บุคคโล (Station1),"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 6x 150 kW, 200A<br>Parking<br>Address: บุคคโล, ธนบุรี, กรุงเทพมหานคร<br>Latitude: 13.703416<br>Longitude: 100.489631<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 6x 150 kW, 200A
Parking","บุคคโล, ธนบุรี, กรุงเทพมหานคร",13.703416,100.489631,EA,"
            100.489631,13.703416,0
          "
E-Bus พระราม 3-บุคคโล (Station2),"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 4x 150 kW, 200A<br>Parking<br>Address: บุคคโล, ธนบุรี, กรุงเทพมหานคร<br>Latitude: 13.703416<br>Longitude: 100.489631<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 4x 150 kW, 200A
Parking","บุคคโล, ธนบุรี, กรุงเทพมหานคร",13.703416,100.489631,EA,"
            100.489631,13.703416,0
          "
MG 824 จำกัด,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: บางเชือกหนัง, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.743377<br>Longitude: 100.447065<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 118 kW, 200A
Type2: CLOSED
Parking","บางเชือกหนัง, ตลิ่งชัน, กรุงเทพมหานคร",13.743377,100.447065,EA,"
            100.447065,13.743377,0
          "
ซัสโก้ ราชพฤกษ์,"Hours: Closed<br>Power: 11 kW<br>Description: CCS2: CLOSED<br>Type2: 11 kW, CLOSED<br>Type1: CLOSED<br>-<br>Address: บางระมาด, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.76229<br>Longitude: 100.445505<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,11 kW,"CCS2: CLOSED
Type2: 11 kW, CLOSED
Type1: CLOSED
-","บางระมาด, ตลิ่งชัน, กรุงเทพมหานคร",13.76229,100.445505,EA,"
            100.445505,13.76229,0
          "
The Bloc (Ratchaphruek),"Hours: Peak<br>Power: 110 kW<br>Description: CCS2: 2x 110 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.768419<br>Longitude: 100.444822<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,110 kW,"CCS2: 2x 110 kW, 200A
Type2: CLOSED
Parking","ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร",13.768419,100.444822,EA,"
            100.444822,13.768419,0
          "
A.C.T สาขาแมคโคร สาทร,"Hours: Closed<br>Power: 90 kW<br>Description: Type1: 22 kW, CLOSED<br>Type2: 5 kW, CLOSED<br>CCS2: 90 kW, 200A, CLOSED<br>Bridgestone A.C.T (Thailand) Co.,Ltd. Makro Sathorn Branch<br>Address: ทุ่งวัดดอน, สาทร, กรุงเทพมหานคร<br>Latitude: 13.709774<br>Longitude: 100.535369<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,90 kW,"Type1: 22 kW, CLOSED
Type2: 5 kW, CLOSED
CCS2: 90 kW, 200A, CLOSED
Bridgestone A.C.T (Thailand) Co.,Ltd. Makro Sathorn Branch","ทุ่งวัดดอน, สาทร, กรุงเทพมหานคร",13.709774,100.535369,EA,"
            100.535369,13.709774,0
          "
สำนักงานใหญ่ เอสซีจี,"Hours: Peak<br>Power: 90 kW<br>Description: Type2: 5 kW, CLOSED<br>CCS2: 2x 90 kW, 200A<br>Parking<br>Address: บางซื่อ, บางซื่อ, กรุงเทพมหานคร<br>Latitude: 13.803691<br>Longitude: 100.538499<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,90 kW,"Type2: 5 kW, CLOSED
CCS2: 2x 90 kW, 200A
Parking","บางซื่อ, บางซื่อ, กรุงเทพมหานคร",13.803691,100.538499,EA,"
            100.538499,13.803691,0
          "
บิ๊กซี ดาวคะนอง,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 117 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: บุคคโล, ธนบุรี, กรุงเทพมหานคร<br>Latitude: 13.699646<br>Longitude: 100.483695<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 117 kW, 200A
Type2: CLOSED
Parking","บุคคโล, ธนบุรี, กรุงเทพมหานคร",13.699646,100.483695,EA,"
            100.483695,13.699646,0
          "
อี-เฟอรี่ องค์การคลังสินค้า (สเตชั่น 1),"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 2x 150 kW, 200A<br>Parking<br>Address: บุคคโล, ธนบุรี, กรุงเทพมหานคร<br>Latitude: 13.698133<br>Longitude: 100.489027<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 2x 150 kW, 200A
Parking","บุคคโล, ธนบุรี, กรุงเทพมหานคร",13.698133,100.489027,EA,"
            100.489027,13.698133,0
          "
อี-เฟอรี่ องค์การคลังสินค้า (สเตชั่น 2),"Hours: Closed<br>Power: 150 kW<br>Description: CCS2: 150 kW, 200A, CLOSED<br>Parking<br>Address: บุคคโล, ธนบุรี, กรุงเทพมหานคร<br>Latitude: 13.69785<br>Longitude: 100.488884<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,150 kW,"CCS2: 150 kW, 200A, CLOSED
Parking","บุคคโล, ธนบุรี, กรุงเทพมหานคร",13.69785,100.488884,EA,"
            100.488884,13.69785,0
          "
ปทุมธานีคอนกรีต,"Hours: 24 Hr<br>Power: 90 kW<br>Description: Type1: 22 kW<br>Type2: 5 kW<br>CCS2: 2x 90 kW, 200A<br>parking<br>Address: บางซื่อ, บางซื่อ, กรุงเทพมหานคร<br>Latitude: 13.815106<br>Longitude: 100.515819<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,90 kW,"Type1: 22 kW
Type2: 5 kW
CCS2: 2x 90 kW, 200A
parking","บางซื่อ, บางซื่อ, กรุงเทพมหานคร",13.815106,100.515819,EA,"
            100.515819,13.815106,0
          "
อาคาร ซี.พี.ทาวเวอร์ 2 (หน้าศูนย์การค้าฝั่งโลตัส),"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: ดินแดง, ดินแดง, กรุงเทพมหานคร<br>Latitude: 13.758519<br>Longitude: 100.565114<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 118 kW, 200A
Type2: CLOSED
Parking","ดินแดง, ดินแดง, กรุงเทพมหานคร",13.758519,100.565114,EA,"
            100.565114,13.758519,0
          "
สวิมคิดส์ (อินทราวาส),"Hours: 24 Hr<br>Power: 116 kW<br>Description: CCS2: 2x 116 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: บางระมาด, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.758118<br>Longitude: 100.437972<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,116 kW,"CCS2: 2x 116 kW, 200A
Type2: CLOSED
Parking","บางระมาด, ตลิ่งชัน, กรุงเทพมหานคร",13.758118,100.437972,EA,"
            100.437972,13.758118,0
          "
E-BUS NEX Express Voice TV (สุทธิสาร),"Hours: 24 Hr<br>Power: 152 kW<br>Description: CCS2: 2x 152 kW, 200A<br>Parking<br>Address: สามเสนใน, พญาไท, กรุงเทพมหานคร<br>Latitude: 13.785779<br>Longitude: 100.559438<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,152 kW,"CCS2: 2x 152 kW, 200A
Parking","สามเสนใน, พญาไท, กรุงเทพมหานคร",13.785779,100.559438,EA,"
            100.559438,13.785779,0
          "
เดอะ พาร์ค (สเตชั่น 1),"Hours: 24 Hr<br>Power: 38 kW<br>Description: Type2: 3x 22 kW<br>CCS2: 4x 38 kW<br>Parking<br>Address: คลองเตย, คลองเตย, กรุงเทพมหานคร<br>Latitude: 13.721135<br>Longitude: 100.557874<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,38 kW,"Type2: 3x 22 kW
CCS2: 4x 38 kW
Parking","คลองเตย, คลองเตย, กรุงเทพมหานคร",13.721135,100.557874,EA,"
            100.557874,13.721135,0
          "
โรงพยาบาลพระราม 9,"Hours: 24 Hr<br>Power: 0 kW<br>Description: CCS2: CLOSED<br>Type2: CLOSED<br>Parking<br>Address: บางกะปิ, ห้วยขวาง, กรุงเทพมหานคร<br>Latitude: 13.75339<br>Longitude: 100.570968<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,0 kW,"CCS2: CLOSED
Type2: CLOSED
Parking","บางกะปิ, ห้วยขวาง, กรุงเทพมหานคร",13.75339,100.570968,EA,"
            100.570968,13.75339,0
          "
เมโทร พาร์ค สาทร,"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: บางหว้า, ภาษีเจริญ, กรุงเทพมหานคร<br>Latitude: 13.709785<br>Longitude: 100.450589<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 118 kW, 200A
Type2: CLOSED
Parking","บางหว้า, ภาษีเจริญ, กรุงเทพมหานคร",13.709785,100.450589,EA,"
            100.450589,13.709785,0
          "
ซัสโก้ สาขาวงศ์สว่าง,"Hours: Closed<br>Power: 110 kW<br>Description: Type2: 22 kW, CLOSED<br>CCS2: 110 kW, 200A, CLOSED<br>PARKING<br>Address: บางซื่อ, บางซื่อ, กรุงเทพมหานคร<br>Latitude: 13.822851<br>Longitude: 100.522771<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,110 kW,"Type2: 22 kW, CLOSED
CCS2: 110 kW, 200A, CLOSED
PARKING","บางซื่อ, บางซื่อ, กรุงเทพมหานคร",13.822851,100.522771,EA,"
            100.522771,13.822851,0
          "
ซัสโก้ สาขารัชดาภิเษก (ขาเข้า),"Hours: 24 Hr<br>Power: 75 kW<br>Description: Type2: 22 kW<br>CCS2: 75 kW<br>Parking<br>Address: ห้วยขวาง, ห้วยขวาง, กรุงเทพมหานคร<br>Latitude: 13.768085<br>Longitude: 100.572318<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,75 kW,"Type2: 22 kW
CCS2: 75 kW
Parking","ห้วยขวาง, ห้วยขวาง, กรุงเทพมหานคร",13.768085,100.572318,EA,"
            100.572318,13.768085,0
          "
อีเฟอรี่ วัดศาลาลี,"Hours: Closed<br>Power: 150 kW<br>Description: CCS2: 150 kW, 200A, CLOSED<br>-<br>Address: บางไผ่, เมืองนนทบุรี, นนทบุรี<br>Latitude: 13.826204<br>Longitude: 100.498007<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,150 kW,"CCS2: 150 kW, 200A, CLOSED
-","บางไผ่, เมืองนนทบุรี, นนทบุรี",13.826204,100.498007,EA,"
            100.498007,13.826204,0
          "
โชว์รูมเกียร์ธนบุรี (ตลิ่งชัน),"Hours: 24 Hr<br>Power: 117 kW<br>Description: CCS2: 2x 118 kW, 200A<br>Type2: CLOSED<br>Parking<br>Address: ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.780855<br>Longitude: 100.433377<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,117 kW,"CCS2: 2x 118 kW, 200A
Type2: CLOSED
Parking","ตลิ่งชัน, ตลิ่งชัน, กรุงเทพมหานคร",13.780855,100.433377,EA,"
            100.433377,13.780855,0
          "
ซัสโก้ บางประกอก (สำนักงานใหญ่),"Hours: 24 Hr<br>Power: 22 kW<br>Description: Type2: 22 kW, CLOSED<br>CCS2: CLOSED<br>-<br>Address: บางปะกอก, ราษฎร์บูรณะ, กรุงเทพมหานคร<br>Latitude: 13.685865<br>Longitude: 100.494137<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,22 kW,"Type2: 22 kW, CLOSED
CCS2: CLOSED
-","บางปะกอก, ราษฎร์บูรณะ, กรุงเทพมหานคร",13.685865,100.494137,EA,"
            100.494137,13.685865,0
          "
Saksit Alloy Group,"Hours: Closed<br>Power: 135 kW<br>Description: Type2: 22 kW, CLOSED<br>CCS2: 135 kW, 200A, CLOSED<br>Parking<br>Address: ดินแดง, ดินแดง, กรุงเทพมหานคร<br>Latitude: 13.776937<br>Longitude: 100.573384<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,135 kW,"Type2: 22 kW, CLOSED
CCS2: 135 kW, 200A, CLOSED
Parking","ดินแดง, ดินแดง, กรุงเทพมหานคร",13.776937,100.573384,EA,"
            100.573384,13.776937,0
          "
บิ๊กซี ราษฎร์บูรณะ,"Hours: Closed<br>Power: 110 kW<br>Description: CCS2: 110 kW, 200A, CLOSED<br>Type2: CLOSED<br>Parking<br>Address: บางปะกอก, ราษฎร์บูรณะ, กรุงเทพมหานคร<br>Latitude: 13.682779<br>Longitude: 100.500082<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,110 kW,"CCS2: 110 kW, 200A, CLOSED
Type2: CLOSED
Parking","บางปะกอก, ราษฎร์บูรณะ, กรุงเทพมหานคร",13.682779,100.500082,EA,"
            100.500082,13.682779,0
          "
A.C.T สาขาเกษมราษฏร์ (พระราม4),"Hours: Peak<br>Power: 90 kW<br>Description: Type2: 22 kW<br>CCS2: 2x 90 kW, 200A<br>Bridgestone A.C.T (Thailand) Co.,Ltd. Kasemraj Branch<br>Address: คลองตัน, คลองเตย, กรุงเทพมหานคร<br>Latitude: 13.718328<br>Longitude: 100.567215<br>Provider: EA",#icon-1899-DB4436-labelson,Peak,90 kW,"Type2: 22 kW
CCS2: 2x 90 kW, 200A
Bridgestone A.C.T (Thailand) Co.,Ltd. Kasemraj Branch","คลองตัน, คลองเตย, กรุงเทพมหานคร",13.718328,100.567215,EA,"
            100.567215,13.718328,0
          "
ซัสโก้ สาขา วิภาวดี 1,"Hours: 24 Hr<br>Power: 110 kW<br>Description: Type2: 5 kW<br>CCS2: 2x 110 kW, 200A<br>Parking <br>Address: จอมพล, จตุจักร, กรุงเทพมหานคร<br>Latitude: 13.802918<br>Longitude: 100.561303<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,110 kW,"Type2: 5 kW
CCS2: 2x 110 kW, 200A
Parking ","จอมพล, จตุจักร, กรุงเทพมหานคร",13.802918,100.561303,EA,"
            100.561303,13.802918,0
          "
ทีซี ฟุตบอลคลับ พระราม3,"Hours: Closed<br>Power: 0 kW<br>Description: CCS2: CLOSED<br>Type2: CLOSED<br>Parking<br>Address: บางโพงพาง, ยานนาวา, กรุงเทพมหานคร<br>Latitude: 13.68431<br>Longitude: 100.522349<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,0 kW,"CCS2: CLOSED
Type2: CLOSED
Parking","บางโพงพาง, ยานนาวา, กรุงเทพมหานคร",13.68431,100.522349,EA,"
            100.522349,13.68431,0
          "
A.C.T สาขาวงศ์สว่าง,"Hours: Closed<br>Power: 75 kW<br>Description: CCS2: 75 kW, CLOSED<br>Type2: CLOSED<br>parking  A.C.T.<br>Address: บางซื่อ, บางซื่อ, กรุงเทพมหานคร<br>Latitude: 13.827128<br>Longitude: 100.529344<br>Provider: EA",#icon-1899-DB4436-labelson,Closed,75 kW,"CCS2: 75 kW, CLOSED
Type2: CLOSED
parking  A.C.T.","บางซื่อ, บางซื่อ, กรุงเทพมหานคร",13.827128,100.529344,EA,"
            100.529344,13.827128,0
          "
อีบัส กาญจนาภิเษก-พรานนก (สเตชั่น 2),"Hours: 24 Hr<br>Power: 150 kW<br>Description: CCS2: 3x 150 kW, 200A<br>Parking<br>Address: บางพรม, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.754485<br>Longitude: 100.423756<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,150 kW,"CCS2: 3x 150 kW, 200A
Parking","บางพรม, ตลิ่งชัน, กรุงเทพมหานคร",13.754485,100.423756,EA,"
            100.423756,13.754485,0
          "
อีบัส กาญจนาภิเษก-พรานนก (สเตชั่น 1),"Hours: 24 Hr<br>Power: 300 kW<br>Description: CCS2: 6x 300 kW, 200A<br>Parking<br>Address: บางพรม, ตลิ่งชัน, กรุงเทพมหานคร<br>Latitude: 13.754679<br>Longitude: 100.423505<br>Provider: EA",#icon-1899-DB4436-labelson,24 Hr,300 kW,"CCS2: 6x 300 kW, 200A
Parking","บางพรม, ตลิ่งชัน, กรุงเทพมหานคร",13.754679,100.423505,EA,"
            100.423505,13.754679,0
          "
